epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.166,0.76355,1.04954,1.00413,0.81819,0.84574,0.90946,0.71251,0.78355,0.82272,1.07316,0.000475768,0.000475768,0.000475768
2,229.054,0.54764,0.61834,0.92839,0.84174,0.85739,0.91166,0.77096,0.62619,0.79388,0.97371,0.000857843,0.000857843,0.000857843
3,363.61,0.51921,0.56621,0.92147,0.82596,0.86853,0.92568,0.82029,0.52033,0.67241,0.94005,0.0011456,0.0011456,0.0011456
4,481.77,0.48559,0.52137,0.91211,0.89282,0.89733,0.95783,0.87367,0.37725,0.562,0.89341,0.00100459,0.00100459,0.00100459
5,602.131,0.44705,0.4736,0.90261,0.86826,0.92491,0.95622,0.87501,0.51801,0.59011,0.94479,0.000863116,0.000863116,0.000863116
6,727.511,0.41855,0.4329,0.89557,0.86043,0.87965,0.94607,0.84418,0.41228,0.60275,0.9097,0.000721645,0.000721645,0.000721645
7,853.783,0.40192,0.40014,0.89008,0.91996,0.92269,0.96861,0.93449,0.30072,0.50475,0.87126,0.000580174,0.000580174,0.000580174
8,977.19,0.3874,0.36468,0.88976,0.92652,0.93414,0.97391,0.95561,0.29314,0.4386,0.86447,0.000438703,0.000438703,0.000438703
9,1101.05,0.37023,0.334,0.88761,0.93408,0.94278,0.97167,0.95909,0.25617,0.44366,0.85765,0.000297232,0.000297232,0.000297232
10,1216.26,0.34766,0.3011,0.88388,0.94595,0.95685,0.97939,0.95667,0.24816,0.41124,0.85376,0.000155761,0.000155761,0.000155761
